text,label
Go jurong point crazy Available bugis n great world la e buffet Cine got amore wat,0
Ok lar Joking wif u oni,0
Free entry 2 wkly comp win FA Cup final tkts 21st May 2005 Text FA 87121 receive entry questionstd txt rateTCs apply 08452810075over18s,1
U dun say early hor U c already say,0
Nah dont think goes usf lives around though,0
FreeMsg Hey darling 3 weeks word back Id like fun still Tb ok XxX std chgs send £150 rcv,1
Even brother like speak treat like aids patent,0
per request Melle Melle Oru Minnaminunginte Nurungu Vettam set callertune Callers Press 9 copy friends Callertune,0
WINNER valued network customer selected receivea £900 prize reward claim call 09061701461 Claim code KL341 Valid 12 hours,1
mobile 11 months U R entitled Update latest colour mobiles camera Free Call Mobile Update Co FREE 08002986030,1
Im gonna home soon dont want talk stuff anymore tonight k Ive cried enough today,0
SIX chances win CASH 100 20000 pounds txt CSH11 send 87575 Cost 150pday 6days 16 TsandCs apply Reply HL 4 info,1
URGENT 1 week FREE membership £100000 Prize Jackpot Txt word CLAIM 81010 TC wwwdbuknet LCCLTD POBOX 4403LDNW1A7RW18,1
Ive searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times,0
DATE SUNDAY,0
XXXMobileMovieClub use credit click WAP link next txt message click httpwap xxxmobilemovieclubcomnQJKGIGHJJGCBL,1
Oh kim watching,0
Eh u remember 2 spell name Yes v naughty make v wet,0
Fine thats way u feel Thats way gota b,0
England v Macedonia dont miss goalsteam news Txt ur national team 87077 eg ENGLAND 87077 TryWALES SCOTLAND 4txtú120 POBOXox36504W45WQ 16,1
seriously spell name,0
I‘m going try 2 months ha ha joking,0
ü pay first lar da stock comin,0
Aft finish lunch go str lor Ard 3 smth lor U finish ur lunch already,0
Ffffffffff Alright way meet sooner,0
forced eat slice Im really hungry tho sucks Mark getting worried knows Im sick turn pizza Lol,0
Lol always convincing,0
catch bus frying egg make tea eating moms left dinner feel Love,0
Im back amp packing car Ill let know theres room,0
Ahhh Work vaguely remember feel like Lol,0
Wait thats still clear sure sarcastic thats x doesnt want live us,0
Yeah got 2 v apologetic n fallen actin like spoilt child got caught Till 2 wont go badly cheers,0
K tell anything,0
fear fainting housework Quick cuppa,0
Thanks subscription Ringtone UK mobile charged £5month Please confirm replying YES reply charged,1
Yup Ok go home look timings msg ü Xuhui going learn 2nd may lesson 8am,0
Oops Ill let know roommates done,0
see letter B car,0
Anything lor U decide,0
Hello Hows saturday go texting see youd decided anything tomo im trying invite anything,0
Pls go ahead watts wanted sure great weekend Abiola,0
forget tell want need crave love sweet Arabian steed Mmmmmm Yummy,0
07732584351 Rodger Burns MSG tried call reply sms free nokia mobile free camcorder Please call 08000930705 delivery tomorrow,1
SEEING,0
Great hope like man well endowed ltgt inches,0
callsmessagesmissed calls,0
Didnt get hep b immunisation nigeria,0
Fair enough anything going,0
Yeah hopefully tyler cant could maybe ask around bit,0
U dont know stubborn didnt even want go hospital kept telling Mark Im weak sucker Hospitals weak suckers,0
thinked First time saw class,0
gram usually runs like ltgt half eighth smarter though gets almost whole second gram ltgt,0
K fyi x ride early tomorrow morning hes crashing place tonight,0
Wow never realized embarassed accomodations thought liked since best could always seemed happy cave Im sorry didnt dont give Im sorry offered Im sorry room embarassing,0
SMS ac Sptv New Jersey Devils Detroit Red Wings play Ice Hockey Correct Incorrect End Reply END SPTV,1
know Mallika Sherawat yesterday Find ltURLgt,0
Congrats 1 year special cinema pass 2 call 09061209465 C Suprman V Matrix3 StarWars3 etc 4 FREE bx420ip45we 150pm Dont miss,1
Sorry Ill call later meeting,0
Tell reached,0
Yesgauti sehwag odi series,0
gonna pick 1 burger way home cant even move Pain killing,0
Ha ha ha good joke Girls situation seekers,0
part checking IQ,0
Sorry roommates took forever ok come,0
Ok lar double check wif da hair dresser already said wun cut v short said cut look nice,0
valued customer pleased advise following recent review Mob awarded £1500 Bonus Prize call 09066364589,1
Today song dedicated day song u dedicate Send ur valuable frnds first rply,0
Urgent UR awarded complimentary trip EuroDisinc Trav AcoEntry41 £1000 claim txt DIS 87121 186£150moreFrmMob ShrAcomOrSglSuplt10 LS1 3AJ,1
hear new Divorce Barbie comes Kens stuff,1
plane give month end,0
Wah lucky man save money Hee,0
Finished class,0
HI BABE IM HOME WANNA SOMETHING XX,0
Kkwhere youhow performed,0
U call,0
waiting machan Call free,0
Thats cool gentleman treat dignity respect,0
like peoples much shy pa,0
operate ltgt,0
Still looking job much Tas earn,0
Sorry Ill call later,0
K call ah,0
Ok way home hi hi,0
place man,0
Yup next stop,0
call later dont network urgnt sms,0
real u getting yo need 2 tickets one jacket Im done already used multis,0
Yes started send requests make pain came back Im back bed Double coins factory gotta cash nitros,0
Im really still tonight babe,0
Ela kanoil download come wen ur free,0
Yeah Don‘t stand close tho you‘ll catch something,0
Sorry pain ok meet another night spent late afternoon casualty means havent done stuff42moro includes time sheets Sorry,0
Smile Pleasure Smile Pain Smile trouble pours like Rain Smile sum1 Hurts U Smile becoz SOMEONE still Loves see u Smiling,0
Please call customer service representative 0800 169 6031 10am9pm guaranteed £1000 cash £5000 prize,1
Havent planning buy later check already lido got 530 show e afternoon U finish work already,0
free ringtone waiting collected Simply text password MIX 85069 verify Get Usher Britney FML PO Box 5249 MK17 92H 450Ppw 16,1
Watching telugu moviewat abt u,0
see finish loads loans pay,0
Hi Wk ok hols Yes bit run Forgot hairdressers appointment four need get home n shower beforehand cause prob u,0
see cup coffee animation,0
Please dont text anymore nothing else say,0
Okay name ur price long legal Wen pick u ave x ams xx,0
Im still looking car buy gone 4the driving test yet,0
per request Melle Melle Oru Minnaminunginte Nurungu Vettam set callertune Callers Press 9 copy friends Callertune,0
wow Youre right didnt mean guess gave boston men changed search location nyc something changed Cuz signin page still says boston,0
Umma life vava umma love lot dear,0
Thanks lot wishes birthday Thanks making birthday truly memorable,0
Aight Ill hit get cash,0
would ip address test considering computer isnt minecraft server,0
know Grumpy old people mom like better lying always one play jokes,0
Dont worry guess hes busy,0
plural noun research,0
Going dinnermsg,0
Im ok wif cos like 2 try new things scared u dun like mah Cos u said loud,0
GENT trying contact Last weekends draw shows £1000 prize GUARANTEED Call 09064012160 Claim Code K52 Valid 12hrs 150ppm,1
Wa ur openin sentence formal Anyway im fine juz tt im eatin much n puttin weightHaha anythin special happened,0
entered cabin PA said Happy Bday Boss felt special askd 4 lunch lunch invited apartment went,0
winner U specially selected 2 receive £1000 4 holiday flights inc speak live operator 2 claim 0871277810910pmin 18,1
Goodo Yes must speak friday eggpotato ratio tortilla needed,0
Hmmmy uncle informed hes paying school directly pls buy food,0
PRIVATE 2004 Account Statement 07742676969 shows 786 unredeemed Bonus Points claim call 08719180248 Identifier Code 45239 Expires,1
URGENT Mobile awarded £2000 Bonus Caller Prize 5903 final try contact U Call Landline 09064019788 BOX42WR29C 150PPM,1
new address applespairsall malarky,0
Todays Voda numbers ending 7548 selected receive 350 award match please call 08712300220 quoting claim code 4041 standard rates app,1
going sao mu today done 12,0
Ü predict wat time üll finish buying,0
Good stuff,0
knowyetunde hasnt sent money yet sent text bother sending dont involve anything shouldnt imposed anything first place apologise,0
room,0
HEY GIRL R U HOPE U R WELL DEL R BAK LONG TIME C GIVE CALL SUM TIME LUCYxx,0
Kkhow much cost,0
Im home,0
Dear call Tmorrowpls accomodate,0
First answer question,0
Sunshine Quiz Wkly Q Win top Sony DVD player u know country Algarve Txt ansr 82277 £150 SPTyrone,1
Want 2 get laid tonight Want real Dogging locations sent direct 2 ur mob Join UKs largest Dogging Network bt Txting GRAVEL 69888 Nt ec2a 31pmsg150p,1
haf msn yijuehotmailcom,0
call meet,0
check rooms befor activities,0
Youll rcv msgs chat svc FREE Hardcore services text GO 69988 u get nothing u must Age Verify yr network try,1
Got c lazy type forgot ü lect saw pouch like v nice,0
K text youre way,0
Sir Waiting mail,0
swt thought Nver get tired little things 4 lovable persons Cozsomtimes little things occupy biggest part Hearts Gud ni8,0
know pls open back,0
Yes see ya dot,0
Whats staff name taking class us,0
FreeMsg havent replied text Im Randy sexy female live local Luv hear u Netcollex Ltd 08700621170150p per msg reply Stop end,1
Ummmawill call check inour life begin qatar pls pray hard,0
Ki deleted contact,0
Sindu got job birla soft,0
wine flowing im nevering,0
Yup thk cine better cos need 2 go 2 plaza mah,0
Ok Ur typical reply,0
per request Melle Melle Oru Minnaminunginte Nurungu Vettam set callertune Callers Press 9 copy friends Callertune,0
everywhere dirt floor windows even shirt sometimes open mouth comes flowing dream world without half chores time joy lots tv shows ill see guess like things must exist like rain hail mist time done become one,0
Aaooooright work,0
Im leaving house,0
Hello love get interview today happy good boy think meAre missing,0
Customer service annoncement New Years delivery waiting Please call 07046744435 arrange delivery,1
winner U specially selected 2 receive £1000 cash 4 holiday flights inc speak live operator 2 claim 0871277810810,1
Keep safe need miss already envy everyone sees real life,0
New car house parentsi new job hand,0
Im love Im excited day spend make happy,0
PLS STOP bootydelious 32F inviting friend Reply YES434 NO434 See wwwSMSacubootydelious STOP Send STOP FRND 62468,1
BangBabes Ur order way U receive Service Msg 2 download UR content U GoTo wap bangb tv UR mobile internetservice menu,1
place ur points e cultures module already,0
URGENT trying contact Last weekends draw shows £900 prize GUARANTEED Call 09061701939 Claim code S89 Valid 12hrs,1
Hi frnd best way avoid missunderstding wit beloved ones,0
Great escape fancy bridge needs lager See tomo,0
Yes completely formclark also utter waste,0
Sir need AXIS BANK account bank address,0
Hmmm Thk sure got time hop ard Ya go 4 free abt Muz call u discuss liao,0
time coming later,0
Bloody hell cant believe forgot surname Mr Ill give u clue spanish begins,0
